item_name,category,mrp,discount,selling_price,quantity,date
Aashirvaad Atta 5kg,Staples,320,5,315,135,1/1/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,25,1/1/2025
India Gate Rice 5kg,Staples,420,0,420,123,1/1/2025
Amul Milk 1L,Dairy,62,15,47,166,1/1/2025
Amul Butter 500g,Dairy,275,5,270,167,1/1/2025
Tata Tea Gold 500g,Beverages,265,5,260,18,1/1/2025
Nescafe Coffee 200g,Beverages,240,5,235,10,1/1/2025
Parle-G Biscuits,Snacks,10,10,0,50,1/1/2025
Maggi Noodles Pack,Instant Food,56,20,36,125,1/1/2025
Surf Excel 2kg,Home Care,420,0,420,110,1/1/2025
Ariel Liquid 1L,Home Care,395,15,380,64,1/1/2025
Lux Soap Pack,Personal Care,160,0,160,117,1/1/2025
Clinic Plus Shampoo 650ml,Personal Care,340,10,330,72,1/1/2025
Colgate Toothpaste 200g,Personal Care,135,5,130,110,1/1/2025
Harpic Toilet Cleaner,Home Care,190,5,185,189,1/1/2025
Good Day Biscuits,Snacks,30,30,0,23,1/1/2025
Britannia Bread,Bakery,45,15,30,163,1/1/2025
Tropicana Juice 1L,Beverages,120,30,90,102,1/1/2025
Pepsi 2.25L,Beverages,99,5,94,150,1/1/2025
Cadbury Dairy Milk,Confectionery,40,5,35,41,1/1/2025
Aashirvaad Atta 5kg,Staples,320,5,315,46,1/2/2025
Fortune Sunflower Oil 1L,Edible Oil,190,15,175,28,1/2/2025
India Gate Rice 5kg,Staples,420,30,390,87,1/2/2025
Amul Milk 1L,Dairy,62,0,62,149,1/2/2025
Amul Butter 500g,Dairy,275,20,255,84,1/2/2025
Tata Tea Gold 500g,Beverages,265,0,265,147,1/2/2025
Nescafe Coffee 200g,Beverages,240,10,230,128,1/2/2025
Parle-G Biscuits,Snacks,10,0,10,149,1/2/2025
Maggi Noodles Pack,Instant Food,56,5,51,184,1/2/2025
Surf Excel 2kg,Home Care,420,15,405,38,1/2/2025
Ariel Liquid 1L,Home Care,395,5,390,106,1/2/2025
Lux Soap Pack,Personal Care,160,0,160,54,1/2/2025
Clinic Plus Shampoo 650ml,Personal Care,340,30,310,14,1/2/2025
Colgate Toothpaste 200g,Personal Care,135,0,135,98,1/2/2025
Harpic Toilet Cleaner,Home Care,190,10,180,118,1/2/2025
Good Day Biscuits,Snacks,30,10,20,114,1/2/2025
Britannia Bread,Bakery,45,30,15,98,1/2/2025
Tropicana Juice 1L,Beverages,120,30,90,144,1/2/2025
Pepsi 2.25L,Beverages,99,30,69,160,1/2/2025
Cadbury Dairy Milk,Confectionery,40,15,25,122,1/2/2025
Aashirvaad Atta 5kg,Staples,320,20,300,72,1/3/2025
Fortune Sunflower Oil 1L,Edible Oil,190,5,185,89,1/3/2025
India Gate Rice 5kg,Staples,420,20,400,52,1/3/2025
Amul Milk 1L,Dairy,62,30,32,67,1/3/2025
Amul Butter 500g,Dairy,275,15,260,107,1/3/2025
Tata Tea Gold 500g,Beverages,265,10,255,55,1/3/2025
Nescafe Coffee 200g,Beverages,240,0,240,175,1/3/2025
Parle-G Biscuits,Snacks,10,0,10,156,1/3/2025
Maggi Noodles Pack,Instant Food,56,15,41,39,1/3/2025
Surf Excel 2kg,Home Care,420,0,420,94,1/3/2025
Ariel Liquid 1L,Home Care,395,10,385,122,1/3/2025
Lux Soap Pack,Personal Care,160,15,145,89,1/3/2025
Clinic Plus Shampoo 650ml,Personal Care,340,15,325,27,1/3/2025
Colgate Toothpaste 200g,Personal Care,135,10,125,63,1/3/2025
Harpic Toilet Cleaner,Home Care,190,5,185,120,1/3/2025
Good Day Biscuits,Snacks,30,0,30,27,1/3/2025
Britannia Bread,Bakery,45,0,45,91,1/3/2025
Tropicana Juice 1L,Beverages,120,5,115,51,1/3/2025
Pepsi 2.25L,Beverages,99,10,89,22,1/3/2025
Cadbury Dairy Milk,Confectionery,40,10,30,40,1/3/2025
Aashirvaad Atta 5kg,Staples,320,5,315,155,1/4/2025
Fortune Sunflower Oil 1L,Edible Oil,190,20,170,154,1/4/2025
